,W,L,W_L_perc,GB,PS_G,PA_G,SRS,Year,Team
0,58,24,0.707,—,116.9,113.3,3.61,2023,Milwaukee Bucks*
1,57,25,0.695,1,117.9,111.4,6.38,2023,Boston Celtics*
2,54,28,0.659,4,115.2,110.9,4.37,2023,Philadelphia 76ers*
3,51,31,0.622,7,112.3,106.9,5.23,2023,Cleveland Cavaliers*
4,47,35,0.573,11,116,113.1,2.99,2023,New York Knicks*
5,45,37,0.549,13,113.4,112.5,1.03,2023,Brooklyn Nets*
6,44,38,0.537,14,109.5,109.8,-0.13,2023,Miami Heat*
7,41,41,0.5,17,118.4,118.1,0.32,2023,Atlanta Hawks*
8,41,41,0.5,17,112.9,111.4,1.59,2023,Toronto Raptors
9,40,42,0.488,18,113.1,111.8,1.37,2023,Chicago Bulls
10,35,47,0.427,23,116.3,119.5,-2.91,2023,Indiana Pacers
11,35,47,0.427,23,113.2,114.4,-1.06,2023,Washington Wizards
12,34,48,0.415,24,111.4,114,-2.39,2023,Orlando Magic
13,27,55,0.329,31,111,117.2,-5.89,2023,Charlotte Hornets
14,17,65,0.207,41,110.3,118.5,-7.73,2023,Detroit Pistons
0,53,29,0.646,—,115.8,112.5,3.04,2023,Denver Nuggets*
1,51,31,0.622,2,116.9,113,3.6,2023,Memphis Grizzlies*
2,48,34,0.585,5,120.7,118.1,2.3,2023,Sacramento Kings*
3,45,37,0.549,8,113.6,111.6,2.08,2023,Phoenix Suns*
4,44,38,0.537,9,113.6,113.1,0.31,2023,Los Angeles Clippers*
5,44,38,0.537,9,118.9,117.1,1.66,2023,Golden State Warriors*
6,43,39,0.524,10,117.2,116.6,0.43,2023,Los Angeles Lakers*
7,42,40,0.512,11,115.8,115.8,-0.22,2023,Minnesota Timberwolves*
8,42,40,0.512,11,114.4,112.5,1.63,2023,New Orleans Pelicans
9,40,42,0.488,13,117.5,116.4,0.96,2023,Oklahoma City Thunder
10,38,44,0.463,15,114.2,114.1,-0.14,2023,Dallas Mavericks
11,37,45,0.451,16,117.1,118,-1.03,2023,Utah Jazz
12,33,49,0.402,20,113.4,117.4,-3.96,2023,Portland Trail Blazers
13,22,60,0.268,31,110.7,118.6,-7.62,2023,Houston Rockets
14,22,60,0.268,31,113,123.1,-9.82,2023,San Antonio Spurs
0,64,18,0.78,—,120.6,109.2,10.75,2024,Boston Celtics*
1,50,32,0.61,14,112.8,108.2,4.36,2024,New York Knicks*
2,49,33,0.598,15,119,116.4,2.44,2024,Milwaukee Bucks*
3,48,34,0.585,16,112.6,110.2,1.98,2024,Cleveland Cavaliers*
4,47,35,0.573,17,110.5,108.4,1.48,2024,Orlando Magic*
5,47,35,0.573,17,123.3,120.2,2.75,2024,Indiana Pacers*
6,47,35,0.573,17,114.6,111.5,2.51,2024,Philadelphia 76ers*
7,46,36,0.561,18,110.1,108.4,1.1,2024,Miami Heat*
8,39,43,0.476,25,112.3,113.7,-1.77,2024,Chicago Bulls
9,36,46,0.439,28,118.3,120.5,-2.38,2024,Atlanta Hawks
10,32,50,0.39,32,110.4,113.3,-3.02,2024,Brooklyn Nets
11,25,57,0.305,39,112.4,118.8,-6.45,2024,Toronto Raptors
12,21,61,0.256,43,106.6,116.8,-10.12,2024,Charlotte Hornets
13,15,67,0.183,49,113.7,123,-9.29,2024,Washington Wizards
14,14,68,0.171,50,109.9,119,-9.06,2024,Detroit Pistons
0,57,25,0.695,—,120.1,112.7,7.36,2024,Oklahoma City Thunder*
1,57,25,0.695,—,114.9,109.6,5.23,2024,Denver Nuggets*
2,56,26,0.683,1,113,106.5,6.39,2024,Minnesota Timberwolves*
3,51,31,0.622,6,115.6,112.3,3.41,2024,Los Angeles Clippers*
4,50,32,0.61,7,117.9,115.6,2.3,2024,Dallas Mavericks*
5,49,33,0.598,8,116.2,113.2,3.08,2024,Phoenix Suns*
6,49,33,0.598,8,115.1,110.7,4.46,2024,New Orleans Pelicans*
7,47,35,0.573,10,118,117.4,1.07,2024,Los Angeles Lakers*
8,46,36,0.561,11,116.6,114.8,2.29,2024,Sacramento Kings
9,46,36,0.561,11,117.8,115.2,2.77,2024,Golden State Warriors
10,41,41,0.5,16,114.3,113.2,1.24,2024,Houston Rockets
11,31,51,0.378,26,115.7,120.5,-4.22,2024,Utah Jazz
12,27,55,0.329,30,105.8,112.8,-6.57,2024,Memphis Grizzlies
13,22,60,0.268,35,112.1,118.6,-5.8,2024,San Antonio Spurs
14,21,61,0.256,36,106.4,115.4,-8.29,2024,Portland Trail Blazers
0,64,18,0.78,—,121.9,112.4,8.81,2025,Cleveland Cavaliers (1)
1,61,21,0.744,3,116.3,107.2,8.28,2025,Boston Celtics (2)
2,51,31,0.622,13,115.8,111.7,3.59,2025,New York Knicks (3)
3,50,32,0.61,14,117.4,115.1,1.68,2025,Indiana Pacers (4)
4,48,34,0.585,16,115.5,113,2.12,2025,Milwaukee Bucks (5)
5,44,38,0.537,20,115.5,113.6,1.73,2025,Detroit Pistons (6)
6,41,41,0.5,23,105.4,105.5,-0.7,2025,Orlando Magic (7)
7,40,42,0.488,24,118.2,119.3,-1.41,2025,Atlanta Hawks (8)
8,39,43,0.476,25,117.8,119.4,-1.83,2025,Chicago Bulls (9)
9,37,45,0.451,27,110.6,110,0.11,2025,Miami Heat (10)
10,30,52,0.366,34,110.9,115.2,-4.4,2025,Toronto Raptors (11)
11,26,56,0.317,38,105.1,112.2,-6.95,2025,Brooklyn Nets (12)
12,24,58,0.293,40,109.6,115.8,-6.29,2025,Philadelphia 76ers (13)
13,19,63,0.232,45,105.1,114.2,-9.1,2025,Charlotte Hornets (14)
14,18,64,0.22,46,108,120.4,-12.14,2025,Washington Wizards (15)
0,68,14,0.829,—,120.5,107.6,12.7,2025,Oklahoma City Thunder (1)
1,52,30,0.634,16,114.3,109.8,4.97,2025,Houston Rockets (2)
2,50,32,0.61,18,113.4,112.2,1.45,2025,Los Angeles Lakers (3)
3,50,32,0.61,18,120.8,116.9,3.97,2025,Denver Nuggets (4)
4,50,32,0.61,18,112.9,108.2,4.84,2025,Los Angeles Clippers (5)
5,49,33,0.598,19,114.3,109.3,5.15,2025,Minnesota Timberwolves (6)
6,48,34,0.585,20,113.8,110.5,3.56,2025,Golden State Warriors (7)
7,48,34,0.585,20,121.7,116.9,4.79,2025,Memphis Grizzlies (8)
8,40,42,0.488,28,115.7,115.3,0.58,2025,Sacramento Kings (9)
9,39,43,0.476,29,114.2,115.4,-0.74,2025,Dallas Mavericks (10)
10,36,46,0.439,32,113.6,116.6,-2.55,2025,Phoenix Suns (11)
11,36,46,0.439,32,110.9,113.9,-2.67,2025,Portland Trail Blazers (12)
12,34,48,0.415,34,113.9,116.7,-2.45,2025,San Antonio Spurs (13)
13,21,61,0.256,47,109.8,119.3,-8.59,2025,New Orleans Pelicans (14)
14,17,65,0.207,51,111.9,121.2,-8.51,2025,Utah Jazz (15)
